IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls,ResourceMobilisationId,Resource_Code,PerformanceReporting,DateAndTimeMobilised,DateAndTimeMobile,DateAndTimeArrived,TurnoutTimeSeconds,TravelTimeSeconds,AttendanceTimeSeconds,DateAndTimeLeft,DateAndTimeReturned,DeployedFromStation_Code,DeployedFromStation_Name,DeployedFromLocation,PumpOrder,PlusCode_Code,PlusCode_Description,DelayCodeId,DelayCode_Description
235138081,01-Jan-09,2009,00:00:37,0,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,SW11 4LB,SW11,,,E09000032,WANDSWORTH,Wandsworth,E05014010,Battersea Park,Battersea Park,528652.0,176830.0,528650,176850,51.47581173,-0.148894436,London,Battersea,319.0,Battersea,342.0,Clapham,2.0,2.0,2,60,255,1.0,38426,H271,1,2009-01-01 00:02:27,,2009-01-01 00:07:46,,,319,2009-01-01 00:16:46,2009-01-01 00:23:55,H27,Battersea,Home Station,1,Initial,Initial Mobilisation,,
2091,01-Jan-09,2009,00:03:00,0,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,N9 9EL,N9,,,E09000010,ENFIELD,Enfield,E05013682,Haselbury,Haselbury,533773.0,194492.0,533750,194450,51.63334229,-0.068487965,London,Edmonton,308.0,Edmonton,,,1.0,1.0,1,60,255,2.0,38429,A341,1,2009-01-01 00:04:09,2009-01-01 00:06:40,2009-01-01 00:09:17,151.0,157.0,308,2009-01-01 00:16:33,2009-01-01 00:17:48,A34,Edmonton,Home Station,1,Initial,Initial Mobilisation,,
3091,01-Jan-09,2009,00:04:27,0,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,UB10 0DG,UB10,100021491527.0,21401491.0,E09000017,HILLINGDON,Hillingdon,E05013571,Hillingdon East,Hillingdon East,507738.0,182805.0,507750,182850,51.53388171,-0.448088609,London,Hillingdon,210.0,Hillingdon,,,1.0,1.0,1,60,255,2.0,38430,G232,1,2009-01-01 00:04:57,2009-01-01 00:06:45,2009-01-01 00:08:27,108.0,102.0,210,2009-01-01 00:20:38,2009-01-01 00:20:38,G23,Hillingdon,Home Station,1,Initial,Initial Mobilisation,,
5091,01-Jan-09,2009,00:05:39,0,Fire,Secondary Fire,,Outdoor,Cycle path/public footpath/bridleway ,In street outside gazetteer location,N7 8HG,N7,,,E09000019,ISLINGTON,Islington,E05013708,Laycock,Laycock,531058.0,185307.0,531050,185350,51.55144063,-0.111120228,London,Holloway,233.0,Holloway,250.0,Holloway,1.0,2.0,2,60,255,1.0,38432,A311,1,2009-01-01 00:06:04,2009-01-01 00:07:58,2009-01-01 00:09:57,114.0,119.0,233,2009-01-01 00:11:58,2009-01-01 00:22:29,A31,Holloway,Home Station,1,Initial,Initial Mobilisation,,
6091,01-Jan-09,2009,00:06:03,0,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,NW5,0.0,20499122.0,E09000007,CAMDEN,Camden,E05013663,Kentish Town North,Kentish Town North,,,529450,185250,,,London,Kentish Town,172.0,Kentish Town,222.0,Kentish Town,1.0,2.0,2,60,255,1.0,38434,A432,1,2009-01-01 00:06:30,2009-01-01 00:07:53,2009-01-01 00:09:22,83.0,89.0,172,2009-01-01 00:15:57,2009-01-01 00:23:10,A43,Kentish Town,Home Station,1,Initial,Initial Mobilisation,,
8091,01-Jan-09,2009,00:12:31,0,Special Service,Special Service,RTC,Road Vehicle,Car ,On motorway / elevated road,SE3 9PP,SE3,,,E09000011,GREENWICH,Greenwich,E05014084,Kidbrooke Village & Sutcliffe,Kidbrooke Village & Sutcliffe,541086.0,175646.0,541050,175650,51.46221068,0.029557239,London,Lee Green,522.0,East Greenwich,,,1.0,1.0,1,60,255,1.0,38436,E231,1,2009-01-01 00:13:34,2009-01-01 00:15:33,2009-01-01 00:22:16,119.0,403.0,522,2009-01-01 00:29:12,2009-01-01 00:29:12,E23,East Greenwich,Home Station,1,Initial,Initial Mobilisation,12.0,Not held up
9091,01-Jan-09,2009,00:13:42,0,Fire,Secondary Fire,,Outdoor Structure,Refuse/rubbish tip ,On land associated with building,TW3 2RE,TW3,100021558493.0,21500957.0,E09000018,HOUNSLOW,Hounslow,E05013623,Hounslow South,Hounslow South,514529.0,174907.0,514550,174950,51.46155963,-0.35278278,London,Heston,342.0,Heston,349.0,Heston,1.0,2.0,2,89,378,1.0,38438,G381,1,2009-01-01 00:14:12,2009-01-01 00:17:10,2009-01-01 00:19:54,178.0,164.0,342,2009-01-01 00:43:10,2009-01-01 00:50:17,G38,Heston,Home Station,1,Initial,Initial Mobilisation,,
10091,01-Jan-09,2009,00:14:51,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,EC1V 7PB,EC1V,5300036673.0,21604971.0,E09000019,ISLINGTON,Islington,E05013711,St. Peter's & Canalside,St. Peter's & Canalside,531902.0,182654.0,531950,182650,51.52740262,-0.099947864,London,Shoreditch,255.0,Clerkenwell,,,1.0,1.0,1,60,255,2.0,38439,A271,1,2009-01-01 00:15:41,2009-01-01 00:17:42,2009-01-01 00:19:56,121.0,134.0,255,2009-01-01 00:26:40,2009-01-01 00:29:37,A27,Clerkenwell,Home Station,1,Initial,Initial Mobilisation,,
11091,01-Jan-09,2009,00:14:57,0,False Alarm,AFA,,Other Residential,Student Hall of Residence ,Correct incident location,WC1B 3RA,WC1B,5048015.0,20401090.0,E09000007,CAMDEN,Camden,E05013653,Bloomsbury,Bloomsbury,529914.0,181705.0,529950,181750,51.5193345,-0.12893928,London,Soho,297.0,Euston,,,1.0,1.0,1,60,255,1.0,38440,A231,1,2009-01-01 00:15:42,2009-01-01 00:17:32,2009-01-01 00:20:39,110.0,187.0,297,2009-01-01 00:33:06,2009-01-01 00:37:35,A23,Euston,Home Station,1,Initial,Initial Mobilisation,,
14091,01-Jan-09,2009,00:17:58,0,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SE5,0.0,22500901.0,E09000028,SOUTHWARK,Southwark,E05011115,St. Giles,St. Giles,,,532850,177050,,,London,Peckham,256.0,Peckham,,,1.0,1.0,1,60,255,1.0,38444,E372,1,2009-01-01 00:18:40,,2009-01-01 00:22:56,,,256,,2009-01-01 00:22:57,E37,Peckham,Home Station,1,Initial,Initial Mobilisation,,
