Feature,Proportions_NANs
IncidentNumber,0.0
DateOfCall,0.0
CalYear,0.0
TimeOfCall,0.0
HourOfCall,0.0
IncidentGroup,0.0
StopCodeDescription,0.0
SpecialServiceType,72.64063359618558
PropertyCategory,0.0
PropertyType,0.0
AddressQualifier,0.0
Postcode_full,46.336878782321655
Postcode_district,0.0
UPRN,12.303338376428878
USRN,14.079596857998656
IncGeo_BoroughCode,0.0
IncGeo_BoroughName,0.0
ProperCase,0.0
IncGeo_WardCode,0.016428265786417262
IncGeo_WardName,0.016428265786417262
IncGeo_WardNameNew,0.016428265786417262
Easting_m,46.336878782321655
Northing_m,46.336878782321655
Easting_rounded,0.0
Northing_rounded,0.0
Latitude,46.336878782321655
Longitude,46.336878782321655
